Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.0,0.0,23.841,3.859,0.0,0.0,42.078,9.853,40.992,12.08,28.298,8.78,44.593,11.819,22.003,7.008,0.0,0.0,49.815,5.718
medium,10.862,15.463,24.09,3.432,10.875,15.476,41.587,9.135,63.83,9.909,30.656,9.786,62.885,10.076,23.788,5.353,9.049,12.905,48.471,4.762
large,18.882,14.404,30.498,8.212,18.205,14.416,42.432,9.455,62.027,9.423,37.146,9.546,66.439,9.782,26.792,5.035,18.698,13.649,48.454,6.066
