Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.01,0.005,0.026,0.003,0.012,0.005,0.108,0.049,0.071,0.01,0.113,0.023,0.066,0.008,0.05,0.037,0.007,0.001,0.898,0.11
medium,0.028,0.028,0.044,0.017,0.028,0.028,0.124,0.027,0.105,0.019,0.138,0.026,0.102,0.007,0.32,0.403,0.019,0.017,0.9,0.085
large,0.203,0.269,0.209,0.166,0.211,0.276,0.348,0.264,0.259,0.153,0.32,0.173,0.303,0.109,2.936,3.95,0.131,0.163,1.178,0.282
