Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.0098,0.0047,0.0258,0.0031,0.012,0.0052,0.1078,0.0493,0.0715,0.0101,0.1132,0.0226,0.0661,0.0082,0.05,0.0366,0.0073,0.0009,0.8979,0.1097
medium,0.0279,0.0275,0.0443,0.017,0.0282,0.0279,0.1242,0.0269,0.1049,0.0192,0.1377,0.026,0.1023,0.0072,0.3195,0.4034,0.019,0.0166,0.8996,0.0853
large,0.2026,0.2687,0.2092,0.166,0.2115,0.2758,0.3483,0.264,0.2589,0.1531,0.3201,0.1727,0.303,0.1091,2.936,3.9496,0.1309,0.1633,1.1778,0.2821
