Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.679,0.289,18.082,0.807,0.475,0.058,48.226,1.508,43.65,0.796,49.803,1.697,45.66,0.871,9.902,0.407,0.584,0.301,76.784,1.289
medium,1.351,0.939,19.922,1.248,1.652,1.66,48.516,1.463,50.756,1.623,50.917,2.22,55.871,5.428,11.12,0.785,1.092,0.748,76.777,0.82
large,1.848,0.862,33.972,2.176,6.581,1.859,48.125,1.493,67.304,4.796,65.734,9.213,93.353,25.56,24.758,8.394,2.442,1.458,89.031,6.266
