Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.6794,0.2892,18.0821,0.8072,0.4747,0.0583,48.2261,1.508,43.6501,0.7959,49.8028,1.6966,45.6596,0.8708,9.9023,0.4071,0.5839,0.3007,76.7843,1.2885
medium,1.3511,0.9386,19.9223,1.2483,1.6524,1.6598,48.5163,1.4633,50.7561,1.6231,50.9174,2.2198,55.8711,5.4283,11.1201,0.7849,1.0921,0.748,76.7767,0.8202
large,1.8484,0.8619,33.9724,2.1759,6.5806,1.8586,48.1252,1.4928,67.3042,4.7955,65.7337,9.213,93.3529,25.5604,24.7577,8.3945,2.4418,1.4576,89.0313,6.2663
