Tamanho,C – M,C – DP,C# – M,C# – DP,C++ – M,C++ – DP,go – M,go – DP,java – M,java – DP,JS – M,JS – DP,kotlin – M,kotlin – DP,Py – M,Py – DP,rust – M,rust – DP,TS – M,TS – DP
small,0.0,0.0,23.841,3.8586,0.0,0.0,42.0779,9.8534,40.9916,12.08,28.298,8.7801,44.5926,11.8193,22.0031,7.0078,0.0,0.0,49.8148,5.718
medium,10.8622,15.4633,24.0898,3.4317,10.8751,15.4758,41.5873,9.1353,63.8296,9.9093,30.6559,9.7856,62.885,10.0756,23.7877,5.3529,9.0486,12.9049,48.4709,4.7621
large,18.8816,14.4038,30.4977,8.2118,18.2047,14.4163,42.4316,9.4552,62.0271,9.423,37.1459,9.5464,66.4388,9.7815,26.7917,5.0346,18.6982,13.649,48.4542,6.0662
